"id","crypto_traded","currency_quoted","data_source","period_close","period_high","period_interval","period_low","period_open","period_start_timestamp","period_volume","search_trend_id","update_timestamp"
3542,"ETH","USD","Nomics https://api.nomics.com/v1/candles",108.3468700000,108.7980100000,"1h",108.2344100000,108.7514500000,"2019-01-30T19:00:00Z",5609721.0000000000,30442,"2019-03-01 18:58:14.048361+00:00"
3543,"ETH","USD","Nomics https://api.nomics.com/v1/candles",107.6415900000,108.2482300000,"1h",107.4797800000,107.9971300000,"2019-01-30T20:00:00Z",8304767.0000000000,30443,"2019-03-01 18:58:14.054316+00:00"
3544,"ETH","USD","Nomics https://api.nomics.com/v1/candles",107.6781600000,107.8684100000,"1h",107.4156400000,107.4739800000,"2019-01-30T21:00:00Z",5400517.0000000000,30444,"2019-03-01 18:58:14.060786+00:00"
3545,"ETH","USD","Nomics https://api.nomics.com/v1/candles",108.0471300000,108.1145700000,"1h",107.8048500000,107.9100700000,"2019-01-30T22:00:00Z",4405792.0000000000,30445,"2019-03-01 18:58:14.067455+00:00"
3546,"ETH","USD","Nomics https://api.nomics.com/v1/candles",108.4870000000,108.9799500000,"1h",108.2781000000,108.4365300000,"2019-01-30T23:00:00Z",6580191.0000000000,30446,"2019-03-01 18:58:14.072303+00:00"
3547,"ETH","USD","Nomics https://api.nomics.com/v1/candles",110.4629200000,111.0090300000,"1h",108.5550300000,108.5860500000,"2019-01-31T00:00:00Z",18096410.0000000000,30447,"2019-03-01 18:58:14.076865+00:00"
3548,"ETH","USD","Nomics https://api.nomics.com/v1/candles",109.6165400000,109.9971600000,"1h",109.3025800000,109.9688400000,"2019-01-31T01:00:00Z",7482740.0000000000,30448,"2019-03-01 18:58:14.080888+00:00"
3549,"ETH","USD","Nomics https://api.nomics.com/v1/candles",109.4571200000,109.8898700000,"1h",109.0461200000,109.8336300000,"2019-01-31T02:00:00Z",7367682.0000000000,30449,"2019-03-01 18:58:14.084782+00:00"
3550,"ETH","USD","Nomics https://api.nomics.com/v1/candles",108.8568500000,109.1401500000,"1h",108.8069700000,109.0616900000,"2019-01-31T03:00:00Z",3616750.0000000000,30450,"2019-03-01 18:58:14.088681+00:00"
3551,"ETH","USD","Nomics https://api.nomics.com/v1/candles",109.3917900000,109.4579100000,"1h",108.8717200000,109.3184100000,"2019-01-31T04:00:00Z",5659037.0000000000,30451,"2019-03-01 18:58:14.093072+00:00"
3552,"ETH","USD","Nomics https://api.nomics.com/v1/candles",108.6323800000,109.0832200000,"1h",108.5949600000,108.9364700000,"2019-01-31T05:00:00Z",3757594.0000000000,30452,"2019-03-01 18:58:14.097178+00:00"
3553,"ETH","USD","Nomics https://api.nomics.com/v1/candles",108.6941200000,108.8720700000,"1h",108.3622100000,108.5900200000,"2019-01-31T06:00:00Z",4272730.0000000000,30453,"2019-03-01 18:58:14.100993+00:00"
3554,"ETH","USD","Nomics https://api.nomics.com/v1/candles",109.0393000000,109.2179000000,"1h",108.7668700000,108.9430700000,"2019-01-31T07:00:00Z",4108209.0000000000,30454,"2019-03-01 18:58:14.104905+00:00"
3555,"ETH","USD","Nomics https://api.nomics.com/v1/candles",107.9513400000,109.1658800000,"1h",107.3289800000,109.0697900000,"2019-01-31T08:00:00Z",15431542.0000000000,30455,"2019-03-01 18:58:14.108509+00:00"
3556,"ETH","USD","Nomics https://api.nomics.com/v1/candles",107.0207400000,107.9721800000,"1h",106.7732400000,107.8167500000,"2019-01-31T09:00:00Z",11443127.0000000000,30456,"2019-03-01 18:58:14.112579+00:00"
3557,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.4493400000,106.7794400000,"1h",106.0193000000,106.5312500000,"2019-01-31T10:00:00Z",11404209.0000000000,30457,"2019-03-01 18:58:14.116836+00:00"
3558,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.7489800000,106.9888500000,"1h",106.3559200000,106.6359900000,"2019-01-31T11:00:00Z",6187335.0000000000,30458,"2019-03-01 18:58:14.121201+00:00"
3559,"ETH","USD","Nomics https://api.nomics.com/v1/candles",107.0473000000,107.2010400000,"1h",106.6069300000,106.9291900000,"2019-01-31T12:00:00Z",6514384.0000000000,30459,"2019-03-01 18:58:14.125578+00:00"
3560,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.7115100000,106.8765400000,"1h",106.5202600000,106.8032300000,"2019-01-31T13:00:00Z",4221796.0000000000,30460,"2019-03-01 18:58:14.129695+00:00"
3561,"ETH","USD","Nomics https://api.nomics.com/v1/candles",105.6766000000,106.8900300000,"1h",105.3038000000,106.8634600000,"2019-01-31T14:00:00Z",10975198.0000000000,30461,"2019-03-01 18:58:14.133604+00:00"
3562,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.6894100000,106.8647300000,"1h",105.8892000000,105.9724600000,"2019-01-31T15:00:00Z",6839523.0000000000,30462,"2019-03-01 18:58:14.137654+00:00"
3563,"ETH","USD","Nomics https://api.nomics.com/v1/candles",105.7222100000,106.1552500000,"1h",105.4867400000,106.1100100000,"2019-01-31T16:00:00Z",6167755.0000000000,30463,"2019-03-01 18:58:14.141694+00:00"
3564,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.1575800000,106.3800400000,"1h",105.8815300000,106.0750700000,"2019-01-31T17:00:00Z",4173738.0000000000,30464,"2019-03-01 18:58:14.145852+00:00"
3565,"ETH","USD","Nomics https://api.nomics.com/v1/candles",105.5708600000,105.9303100000,"1h",105.4005900000,105.8768200000,"2019-01-31T18:00:00Z",4269000.0000000000,30465,"2019-03-01 18:58:14.149710+00:00"
3566,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.4120200000,106.6794600000,"1h",105.8059000000,105.9974700000,"2019-01-31T19:00:00Z",5882897.0000000000,30466,"2019-03-01 18:58:14.153555+00:00"
3567,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.7461900000,106.8957900000,"1h",106.0606200000,106.2496000000,"2019-01-31T20:00:00Z",5492040.0000000000,30467,"2019-03-01 18:58:14.157633+00:00"
3568,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.2783300000,106.6050500000,"1h",105.9735000000,106.5888300000,"2019-01-31T21:00:00Z",4800874.0000000000,30468,"2019-03-01 18:58:14.162295+00:00"
3569,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.6834200000,106.8848800000,"1h",106.1551400000,106.3214100000,"2019-01-31T22:00:00Z",4453780.0000000000,30469,"2019-03-01 18:58:14.167034+00:00"
3570,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.4084700000,106.7745200000,"1h",106.1060000000,106.7671200000,"2019-01-31T23:00:00Z",4837457.0000000000,30470,"2019-03-01 18:58:14.172285+00:00"
3571,"ETH","USD","Nomics https://api.nomics.com/v1/candles",106.0190100000,106.7242000000,"1h",105.9691300000,106.5103600000,"2019-02-01T00:00:00Z",5921665.0000000000,30471,"2019-03-01 18:58:14.177754+00:00"
3572,"ETH","USD","Nomics https://api.nomics.com/v1/candles",104.2605000000,106.0437400000,"1h",103.8737900000,106.0276200000,"2019-02-01T01:00:00Z",23465369.0000000000,30472,"2019-03-01 18:58:14.182717+00:00"
3573,"ETH","USD","Nomics https://api.nomics.com/v1/candles",104.2311500000,104.5009900000,"1h",103.7177800000,103.8551500000,"2019-02-01T02:00:00Z",7262627.0000000000,30473,"2019-03-01 18:58:14.186886+00:00"
3574,"ETH","USD","Nomics https://api.nomics.com/v1/candles",104.5119100000,104.7161700000,"1h",104.0783100000,104.1210700000,"2019-02-01T03:00:00Z",4400855.0000000000,30474,"2019-03-01 18:58:14.190725+00:00"
3575,"ETH","USD","Nomics https://api.nomics.com/v1/candles",104.0001000000,104.3706900000,"1h",103.5545800000,104.3591000000,"2019-02-01T04:00:00Z",6854643.0000000000,30475,"2019-03-01 18:58:14.194460+00:00"
3576,"ETH","USD","Nomics https://api.nomics.com/v1/candles",104.3514800000,104.5403800000,"1h",104.1650600000,104.2273600000,"2019-02-01T05:00:00Z",4861291.0000000000,30476,"2019-03-01 18:58:14.198364+00:00"
