"id","change","crypto_candle_id","crypto_traded","currency_quoted","date","lower","metric_value","object_type","period_interval","simulation_id","update_timestamp","upper"
37773,0E-10,8499.0,"BTC","USD","2013-03-06 00:00:00+00:00",-24.1087612639,831.7692546864,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.047036+00:00",1691.1965638621
37774,-79.8683205588,8500.0,"BTC","USD","2013-03-07 00:00:00+00:00",-115.2394457586,751.9009341276,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.053077+00:00",1566.2520659179
37775,-77.7908585474,8501.0,"BTC","USD","2013-03-08 00:00:00+00:00",-80.4135069463,674.1100755802,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.059016+00:00",1548.0896727466
37776,-58.2433716862,8502.0,"BTC","USD","2013-03-09 00:00:00+00:00",-211.9287495079,615.8667038940,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.064470+00:00",1455.7778090974
37777,-64.9809957154,8503.0,"BTC","USD","2013-03-10 00:00:00+00:00",-285.9925474491,550.8857081786,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.070460+00:00",1419.6734751953
37778,-47.1836536796,8504.0,"BTC","USD","2013-03-11 00:00:00+00:00",-282.9325848425,503.7020544990,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.076614+00:00",1335.7917781295
37779,-53.2504766368,8505.0,"BTC","USD","2013-03-12 00:00:00+00:00",-372.6213567266,450.4515778622,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.081904+00:00",1322.6755796056
37780,-67.8425586674,8506.0,"BTC","USD","2013-03-13 00:00:00+00:00",-497.4618614232,382.6090191948,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.088383+00:00",1187.7741948011
37781,-47.2665280931,8507.0,"BTC","USD","2013-03-14 00:00:00+00:00",-465.7963559656,335.3424911017,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.095519+00:00",1202.2298089223
37782,-39.1367324698,8508.0,"BTC","USD","2013-03-15 00:00:00+00:00",-556.0325720606,296.2057586319,"CryptoCandle.period_close","1d",4,"2019-03-06 00:14:28.100808+00:00",1164.5109778426
