"date","btc_usd","buy_bitcoin","id","is_partial","period_interval","trend_ratio","update_timestamp"
"2019-01-28 00:00:00+00:00",66,40,26945,False,"1h",0.60606,"2019-03-04 21:37:21.647642+00:00"
"2019-01-28 01:00:00+00:00",66,34,26946,False,"1h",0.51515,"2019-03-04 21:37:21.656226+00:00"
"2019-01-28 02:00:00+00:00",64,33,26947,False,"1h",0.51562,"2019-03-04 21:37:21.659342+00:00"
"2019-01-28 03:00:00+00:00",76,30,26948,False,"1h",0.39474,"2019-03-04 21:37:21.662582+00:00"
"2019-01-28 04:00:00+00:00",85,32,26949,False,"1h",0.37647,"2019-03-04 21:37:21.666284+00:00"
"2019-01-28 05:00:00+00:00",85,32,26950,False,"1h",0.37647,"2019-03-04 21:37:21.671087+00:00"
"2019-01-28 06:00:00+00:00",95,32,26951,False,"1h",0.33684,"2019-03-04 21:37:21.674595+00:00"
"2019-01-28 07:00:00+00:00",84,22,26952,False,"1h",0.26190,"2019-03-04 21:37:21.678175+00:00"
"2019-01-28 08:00:00+00:00",78,23,26953,False,"1h",0.29487,"2019-03-04 21:37:21.681558+00:00"
"2019-01-28 09:00:00+00:00",75,19,26954,False,"1h",0.25333,"2019-03-04 21:37:21.685410+00:00"
"2019-01-28 10:00:00+00:00",77,22,26955,False,"1h",0.28571,"2019-03-04 21:37:21.689527+00:00"
"2019-01-28 11:00:00+00:00",74,24,26956,False,"1h",0.32432,"2019-03-04 21:37:21.692703+00:00"
"2019-01-28 12:00:00+00:00",78,21,26957,False,"1h",0.26923,"2019-03-04 21:37:21.695671+00:00"
"2019-01-28 13:00:00+00:00",75,18,26958,False,"1h",0.24000,"2019-03-04 21:37:21.699860+00:00"
"2019-01-28 14:00:00+00:00",74,21,26959,False,"1h",0.28378,"2019-03-04 21:37:21.702233+00:00"
"2019-01-28 15:00:00+00:00",79,23,26960,False,"1h",0.29114,"2019-03-04 21:37:21.706345+00:00"
"2019-01-28 16:00:00+00:00",83,25,26961,False,"1h",0.30120,"2019-03-04 21:37:21.709658+00:00"
"2019-01-28 17:00:00+00:00",84,25,26962,False,"1h",0.29762,"2019-03-04 21:37:21.713635+00:00"
"2019-01-28 18:00:00+00:00",78,28,26963,False,"1h",0.35897,"2019-03-04 21:37:21.716879+00:00"
"2019-01-28 19:00:00+00:00",78,28,26964,False,"1h",0.35897,"2019-03-04 21:37:21.720456+00:00"
"2019-01-28 20:00:00+00:00",72,25,26965,False,"1h",0.34722,"2019-03-04 21:37:21.724731+00:00"
"2019-01-28 21:00:00+00:00",77,30,26966,False,"1h",0.38961,"2019-03-04 21:37:21.728132+00:00"
"2019-01-28 22:00:00+00:00",86,30,26967,False,"1h",0.34884,"2019-03-04 21:37:21.731807+00:00"
"2019-01-28 23:00:00+00:00",78,33,26968,False,"1h",0.42308,"2019-03-04 21:37:21.735208+00:00"
"2019-01-29 00:00:00+00:00",83,38,26969,False,"1h",0.45783,"2019-03-04 21:37:21.750375+00:00"
"2019-01-29 01:00:00+00:00",83,30,26970,False,"1h",0.36145,"2019-03-04 21:37:21.754886+00:00"
"2019-01-29 02:00:00+00:00",79,42,26971,False,"1h",0.53165,"2019-03-04 21:37:21.758239+00:00"
"2019-01-29 03:00:00+00:00",85,31,26972,False,"1h",0.36471,"2019-03-04 21:37:21.761514+00:00"
"2019-01-29 04:00:00+00:00",100,31,26973,False,"1h",0.31000,"2019-03-04 21:37:21.764704+00:00"
